ID,IMDB_ID,Budget,Production Companies,Production Countries,Revenue,Runtime,Director
998450,tt21054916,0,"['Barberousse Films', 'Volta Producción']","['France', 'Spain']",0,20,Blanca Camell Galí
998452,tt14048768,0,['Centro de Capacitación Cinematográfica (CCC)'],['Mexico'],0,27,Luis J. Arellano
998457,,0,['BBC Music'],['United Kingdom'],0,53,
998458,tt21450442,25,[],[],0,18,Kalel Pessôa
998459,tt21341476,0,[],['United States of America'],0,14,Kevin Steen
998460,,0,[],['France'],0,0,Stéphane Meunier
998491,tt20753464,0,[],"['Argentina', 'Mexico', 'Uruguay']",0,97,Martín Salinas
998501,,200,['Garúa Cine'],[],0,9,Ignacio Lopardo
998510,,0,['Sabará Filmes'],[],0,0,Lucas Mancini
998514,tt20854172,0,[],['United States of America'],0,82,Eric Abrams
998539,,0,['Honey Bee'],['United Kingdom'],0,93,Ros Edwards
998544,tt21088416,0,[],['Japan'],0,20,Takafumi Sakabe
998553,,0,['Ghoul Party Films'],['United States of America'],0,3,
998554,,0,[],['China'],0,71,Zhang Jingsong
998558,tt21237578,0,['Viva Films'],['Philippines'],0,93,Mikhail Red
998578,tt20895650,0,['Three Headed Monster Media'],['United States of America'],0,133,Bryan Steenerson
998601,,0,[],[],0,7,John Barnes
998619,,0,[],[],0,0,Xavier Reim
998627,tt22692282,0,['France Télévisions'],['France'],0,114,Guy Lagache
998640,tt21142172,0,[],[],0,0,Francesco Ferraris
998649,tt21209176,0,[],[],0,15,Jadrien Morales
998659,tt21386638,0,"['Avalon Music', 'WW Entertainment', 'Daydo Productions', 'Framez Productions', 'Camerafellas']",['Netherlands'],0,64,Israel Adjei
998684,tt17965620,0,"['Zodiac Pictures', 'Claussen+Putz Filmproduktion', 'SRF', 'SRG SSR', 'ZDF', 'blue+ Blue Entertainment AG', 'Frontal', 'Frontal21']","['Denmark', 'Switzerland']",0,91,Barbara Kulcsar
998690,,0,[],[],0,6,Marco Tontodonati
998693,tt14821034,0,"['Spirited Heroine Productions', 'TILT Production']",['Switzerland'],0,82,Maria Kaur Bedi
998709,,0,[],['China'],0,73,Huang Xingang
998762,tt24021818,0,[],['France'],0,96,Jamila Jendari
998764,tt23781384,0,['Les Films du Lendemain'],['France'],0,76,Benoît Jacquot
998767,,0,[],[],0,204,Daniel Eisenberg
998771,tt21278968,0,[],['Colombia'],0,85,Fernando Ayllón
998776,tt23112636,0,"['Kingdom Story Company', 'Radiate Films', 'Harvest Ministries', 'WTA Media']",['United States of America'],0,115,Ben Smallbone
998778,,0,[],[],0,0,
998782,tt8482258,100000,[],[],0,92,Joel Moody
998783,tt21956982,0,"['KS2 Productions', 'Vito Films']",['France'],0,93,Gad Elmaleh
